bundesland,jahr,ferien_typ,start,ende
BE,2023,Winterferien,2023-01-30,2023-02-04
BE,2023,Osterferien,2023-04-03,2023-04-14
BE,2023,Unterrichtsfreier Tag,2023-05-19,2023-05-19
BE,2023,Pfingstferien,2023-05-30,2023-05-30
BE,2023,Sommerferien,2023-07-13,2023-08-25
BE,2023,Unterrichtsfreier Tag,2023-10-02,2023-10-02
BE,2023,Herbstferien,2023-10-23,2023-11-04
BE,2023,Weihnachtsferien,2023-12-23,2024-01-05
BE,2024,Weihnachtsferien,2023-12-23,2024-01-05
BE,2024,Winterferien,2024-02-05,2024-02-10
BE,2024,Osterferien,2024-03-25,2024-04-05
BE,2024,Unterrichtsfreier Tag,2024-05-10,2024-05-10
BE,2024,Sommerferien,2024-07-18,2024-08-30
BE,2024,Unterrichtsfreier Tag,2024-10-04,2024-10-04
BE,2024,Herbstferien,2024-10-21,2024-11-02
BE,2024,Weihnachtsferien,2024-12-23,2024-12-31
BE,2025,Winterferien,2025-02-03,2025-02-08
BE,2025,Osterferien,2025-04-14,2025-04-25
BE,2025,Unterrichtsfreier Tag,2025-05-02,2025-05-02
BE,2025,Unterrichtsfreier Tag,2025-05-30,2025-05-30
BE,2025,Pfingstferien,2025-06-10,2025-06-10
BE,2025,Sommerferien,2025-07-24,2025-09-06
BE,2025,Herbstferien,2025-10-20,2025-11-01
BE,2025,Weihnachtsferien,2025-12-22,2026-01-02
BB,2019,Weihnachtsferien,2019-12-23,2020-01-03
BB,2020,Weihnachtsferien,2019-12-23,2020-01-03
BB,2020,Winterferien,2020-02-03,2020-02-08
BB,2020,Osterferien,2020-04-06,2020-04-17
BB,2020,Variabler Ferientag,2020-05-22,2020-05-22
BB,2020,Sommerferien,2020-06-25,2020-08-08
BB,2020,Herbstferien,2020-10-12,2020-10-24
BB,2020,Weihnachtsferien,2020-12-21,2021-01-02
BB,2021,Weihnachtsferien,2020-12-21,2021-01-02
BB,2021,Winterferien,2021-02-01,2021-02-06
BB,2021,Osterferien,2021-03-29,2021-04-09
BB,2021,Variabler Ferientag,2021-05-14,2021-05-14
BB,2021,Sommerferien,2021-06-24,2021-08-07
BB,2021,Herbstferien,2021-10-11,2021-10-23
BB,2021,Weihnachtsferien,2021-12-23,2021-12-31
BB,2022,Winterferien,2022-01-31,2022-02-05
BB,2022,Osterferien,2022-04-11,2022-04-24
BB,2022,Variabler Ferientag,2022-05-27,2022-05-27
BB,2022,Sommerferien,2022-07-07,2022-08-20
BB,2022,Herbstferien,2022-10-24,2022-11-05
BB,2022,Weihnachtsferien,2022-12-22,2023-01-03
BB,2023,Weihnachtsferien,2022-12-22,2023-01-03
