bundesland,jahr,ferien_typ,start,ende
BY,2023,herbstferien bayern 2023,2023-10-30,2023-11-03
BY,2023,herbstferien bayern 2023 (beweglicher ferientag),2023-11-22,2023-11-22
BY,2023,weihnachtsferien bayern 2023,2023-12-23,2024-01-05
BY,2024,winterferien bayern 2024,2024-02-12,2024-02-16
BY,2024,osterferien bayern 2024,2024-03-25,2024-04-06
BY,2024,pfingstferien bayern 2024,2024-05-21,2024-06-01
BY,2024,sommerferien bayern 2024,2024-07-29,2024-09-09
BY,2024,herbstferien bayern 2024,2024-10-28,2024-10-31
BY,2024,herbstferien bayern 2024 (beweglicher ferientag),2024-11-20,2024-11-20
BY,2024,weihnachtsferien bayern 2024,2024-12-23,2025-01-03
BY,2025,winterferien bayern 2025,2025-03-03,2025-03-07
BY,2025,osterferien bayern 2025,2025-04-14,2025-04-25
BY,2025,pfingstferien bayern 2025,2025-06-10,2025-06-20
BY,2025,sommerferien bayern 2025,2025-08-01,2025-09-15
BY,2025,herbstferien bayern 2025,2025-11-03,2025-11-07
BY,2025,herbstferien bayern 2025 (beweglicher ferientag),2025-11-19,2025-11-19
BY,2025,weihnachtsferien bayern 2025,2025-12-22,2026-01-05
BE,2019,winterferien berlin 2019,2019-02-04,2019-02-09
BE,2019,osterferien berlin 2019,2019-04-15,2019-04-26
BE,2019,pfingstferien berlin 2019 (beweglicher ferientag),2019-05-31,2019-05-31
BE,2019,sommerferien berlin 2019,2019-06-20,2019-08-02
BE,2019,herbstferien berlin 2019,2019-10-04,2019-10-19
BE,2019,weihnachtsferien berlin 2019,2019-12-23,2020-01-04
BE,2020,winterferien berlin 2020,2020-02-03,2020-02-08
BE,2020,osterferien berlin 2020,2020-04-06,2020-04-17
BE,2020,pfingstferien berlin 2020 (beweglicher ferientag),2020-05-08,2020-05-08
BE,2020,pfingstferien berlin 2020 (beweglicher ferientag 2),2020-05-22,2020-05-22
BE,2020,sommerferien berlin 2020,2020-06-25,2020-08-07
BE,2020,herbstferien berlin 2020,2020-10-12,2020-10-24
BE,2020,weihnachtsferien berlin 2020,2020-12-21,2021-01-02
BE,2021,winterferien berlin 2021,2021-02-01,2021-02-06
BE,2021,osterferien berlin 2021,2021-03-29,2021-04-10
BE,2021,pfingstferien berlin 2021 (beweglicher ferientag),2021-05-14,2021-05-14
BE,2021,sommerferien berlin 2021,2021-06-24,2021-08-06
BE,2021,herbstferien berlin 2021,2021-10-11,2021-10-23
BE,2021,weihnachtsferien berlin 2021,2021-12-23,2021-12-31
BE,2022,winterferien berlin 2022,2022-01-29,2022-02-05
BE,2022,osterferien berlin 2022,2022-04-11,2022-04-23
BE,2022,pfingstferien berlin 2022 (beweglicher ferientag),2022-05-27,2022-05-27
BE,2022,sommerferien berlin 2022,2022-07-07,2022-08-19
BE,2022,herbstferien berlin 2022,2022-10-24,2022-11-05
BE,2022,weihnachtsferien berlin 2022,2022-12-22,2023-01-02
BE,2023,winterferien berlin 2023,2023-01-30,2023-02-04
BE,2023,osterferien berlin 2023,2023-04-03,2023-04-14
BE,2023,pfingstferien berlin 2023 (beweglicher ferientag),2023-05-19,2023-05-19
BE,2023,sommerferien berlin 2023,2023-07-13,2023-08-25
BE,2023,herbstferien berlin 2023 (beweglicher ferientag),2023-10-02,2023-10-02
BE,2023,herbstferien berlin 2023,2023-10-23,2023-11-04
BE,2023,weihnachtsferien berlin 2023,2023-12-23,2024-01-05
BE,2024,winterferien berlin 2024,2024-02-05,2024-02-10
BE,2024,osterferien berlin 2024,2024-03-25,2024-04-05
BE,2024,pfingstferien berlin 2024 (beweglicher ferientag),2024-05-10,2024-05-10
BE,2024,sommerferien berlin 2024,2024-07-18,2024-08-30
BE,2024,herbstferien berlin 2024 (beweglicher ferientag),2024-10-04,2024-10-04
BE,2024,herbstferien berlin 2024,2024-10-21,2024-11-02
BE,2024,weihnachtsferien berlin 2024,2024-12-23,2024-12-31
BE,2025,winterferien berlin 2025,2025-02-03,2025-02-08
BE,2025,osterferien berlin 2025,2025-04-14,2025-04-25
BE,2025,osterferien berlin 2025 (beweglicher ferientag),2025-05-02,2025-05-02
BE,2025,pfingstferien berlin 2025,2025-06-10,2025-06-10
BE,2025,sommerferien berlin 2025,2025-07-24,2025-09-06
BE,2025,herbstferien berlin 2025,2025-10-20,2025-11-01
BE,2025,weihnachtsferien berlin 2025,2025-12-22,2026-01-02
BB,2019,winterferien brandenburg 2019,2019-02-04,2019-02-09
BB,2019,osterferien brandenburg 2019,2019-04-15,2019-04-26
BB,2019,sommerferien brandenburg 2019,2019-06-20,2019-08-03
BB,2019,herbstferien brandenburg 2019,2019-10-04,2019-10-18
BB,2019,weihnachtsferien brandenburg 2019,2019-12-23,2020-01-04
BB,2020,winterferien brandenburg 2020,2020-02-03,2020-02-08
BB,2020,osterferien brandenburg 2020,2020-04-06,2020-04-17
BB,2020,sommerferien brandenburg 2020,2020-06-25,2020-08-08
BB,2020,herbstferien brandenburg 2020,2020-10-12,2020-10-24
BB,2020,weihnachtsferien brandenburg 2020,2020-12-21,2021-01-02
BB,2021,winterferien brandenburg 2021,2021-02-01,2021-02-06
BB,2021,osterferien brandenburg 2021,2021-03-29,2021-04-09
BB,2021,sommerferien brandenburg 2021,2021-06-24,2021-08-07
BB,2021,herbstferien brandenburg 2021,2021-10-11,2021-10-23
BB,2021,weihnachtsferien brandenburg 2021,2021-12-23,2021-12-31
BB,2022,winterferien brandenburg 2022,2022-01-31,2022-02-05
BB,2022,osterferien brandenburg 2022,2022-04-11,2022-04-23
BB,2022,sommerferien brandenburg 2022,2022-07-07,2022-08-20
BB,2022,herbstferien brandenburg 2022,2022-10-24,2022-11-05
BB,2022,weihnachtsferien brandenburg 2022,2022-12-22,2023-01-03
BB,2023,winterferien brandenburg 2023,2023-01-30,2023-02-03
BB,2023,osterferien brandenburg 2023,2023-04-03,2023-04-14
BB,2023,sommerferien brandenburg 2023,2023-07-13,2023-08-26
BB,2023,herbstferien brandenburg 2023,2023-10-23,2023-11-04
BB,2023,weihnachtsferien brandenburg 2023,2023-12-23,2024-01-05
BB,2024,winterferien brandenburg 2024,2024-02-05,2024-02-09
BB,2024,osterferien brandenburg 2024,2024-03-25,2024-04-05
BB,2024,sommerferien brandenburg 2024,2024-07-18,2024-08-31
BB,2024,herbstferien brandenburg 2024 (beweglicher ferientag),2024-10-04,2024-10-04
BB,2024,herbstferien brandenburg 2024,2024-10-21,2024-11-02
BB,2024,weihnachtsferien brandenburg 2024,2024-12-23,2024-12-31
BB,2025,winterferien brandenburg 2025,2025-02-03,2025-02-08
BB,2025,osterferien brandenburg 2025,2025-04-14,2025-04-25
BB,2025,osterferien brandenburg 2025 (beweglicher ferientag),2025-05-02,2025-05-02
BB,2025,pfingstferien brandenburg 2025,2025-06-10,2025-06-10
BB,2025,sommerferien brandenburg 2025,2025-07-24,2025-09-06
BB,2025,herbstferien brandenburg 2025,2025-10-20,2025-11-01
BB,2025,weihnachtsferien brandenburg 2025,2025-12-22,2026-01-02
HB,2019,winterferien bremen 2019,2019-01-31,2019-02-01
HB,2019,osterferien bremen 2019,2019-04-06,2019-04-23
HB,2019,pfingstferien bremen 2019 (beweglicher ferientag),2019-05-31,2019-05-31
HB,2019,sommerferien bremen 2019,2019-07-04,2019-08-14
HB,2019,herbstferien bremen 2019,2019-10-04,2019-10-18
HB,2019,weihnachtsferien bremen 2019,2019-12-21,2020-01-06
HB,2020,winterferien bremen 2020,2020-02-03,2020-02-08
HB,2020,osterferien bremen 2020,2020-04-06,2020-04-17
HB,2020,pfingstferien bremen 2020 (beweglicher ferientag),2020-05-22,2020-05-22
HB,2020,sommerferien bremen 2020,2020-07-16,2020-08-26
HB,2020,herbstferien bremen 2020,2020-10-12,2020-10-24
HB,2020,weihnachtsferien bremen 2020,2020-12-23,2021-01-08
HB,2021,winterferien bremen 2021,2021-02-01,2021-02-02
HB,2021,osterferien bremen 2021,2021-03-27,2021-04-10
HB,2021,pfingstferien bremen 2021 (beweglicher ferientag),2021-05-14,2021-05-14
HB,2021,sommerferien bremen 2021,2021-07-22,2021-09-01
